City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vadso,70.0744,29.7487,10.49,53,0,3.6,NO,1686539768
1,tofol,5.3248,163.0078,30.88,66,75,6.69,FM,1686539731
2,taulaga,-11.0553,-171.0883,28.27,79,65,7.43,AS,1686539854
3,wailua homesteads,22.0669,-159.378,26.44,79,75,6.69,US,1686540238
4,carnarvon,-24.8667,113.6333,17.9,47,0,8.51,AU,1686539729
5,port-aux-francais,-49.35,70.2167,5.4,92,100,16.48,TF,1686540238
6,manismata,-2.4667,111.0333,31.24,60,46,2.32,ID,1686540239
7,grytviken,-54.2811,-36.5092,-3.46,77,50,3.91,GS,1686540239
8,adamstown,-25.066,-130.1015,20.88,57,70,5.77,PN,1686540239
9,fort abbas,29.1925,72.8536,36.26,34,0,10.69,PK,1686540239
10,niafunke,15.9322,-3.9906,31.18,45,90,5.46,ML,1686540239
11,stanley,54.868,-1.6985,14.3,92,0,0.51,GB,1686539764
12,badger,64.8,-147.5333,19.17,46,40,2.06,US,1686539640
13,cabo san lucas,22.8909,-109.9124,29.78,44,0,5.14,MX,1686539548
14,udachny,66.4167,112.4,7.35,58,31,6.23,RU,1686539668
15,susuman,62.7833,148.1667,23.91,32,100,7.54,RU,1686539653
16,liuhe,42.2401,125.7172,20.74,60,26,1.66,CN,1686540240
17,albany,42.6001,-73.9662,19.57,93,88,1.53,US,1686540196
18,enewetak,11.3474,162.3373,28.02,82,97,8.27,MH,1686539698
19,blackmans bay,-43.0167,147.3167,14.85,66,62,3.07,AU,1686540241
20,saipan,15.1355,145.701,31.39,100,40,5.81,MP,1686539700
21,jayapura,-2.5333,140.7,30.66,73,95,2.01,ID,1686539739
22,antofagasta,-23.65,-70.4,16.6,82,77,2.36,CL,1686539527
23,swakopmund,-22.6833,14.5333,11.1,87,0,1.83,NA,1686539995
24,tolanaro,-25.0319,46.9987,17.04,94,20,0.0,MG,1686540242
25,gwanda,-20.9333,29.0,14.94,69,84,2.15,ZW,1686540242
26,margaret river,-33.95,115.0667,15.62,64,82,5.18,AU,1686539649
27,nova sintra,14.8667,-24.7167,21.89,83,22,10.61,CV,1686539677
28,south portland gardens,43.639,-70.3153,17.96,78,75,0.45,US,1686540243
29,zambezi,-13.5432,23.1047,13.14,55,0,1.82,ZM,1686539847
30,cockburn town,21.4612,-71.1419,27.93,86,2,8.69,TC,1686539687
31,la plata,-34.9215,-57.9545,6.57,67,0,3.85,AR,1686539900
32,bilibino,68.0546,166.4372,17.29,40,100,5.49,RU,1686540244
33,avarua,-21.2078,-159.775,26.03,78,18,2.57,CK,1686539650
34,waitangi,-43.9535,-176.5597,12.12,89,100,0.45,NZ,1686540193
35,danilovka,50.3557,44.1168,14.13,60,99,9.08,RU,1686540244
36,seguela,7.9611,-6.6731,21.51,97,90,3.23,CI,1686540245
37,horta,38.5333,-28.6333,19.45,88,100,6.71,PT,1686539767
38,bethel,41.3712,-73.414,20.36,75,75,3.6,US,1686540245
39,hotan,37.0997,79.9269,31.8,14,74,2.7,CN,1686539890
40,el calafate,-50.3408,-72.2768,0.42,70,0,4.41,AR,1686539697
41,mahuta,-10.8667,39.45,15.84,97,2,0.3,TZ,1686540245
42,ribeira grande,38.5167,-28.7,19.87,88,100,6.26,PT,1686540246
43,sinop,41.7711,34.8709,13.92,93,21,1.31,TR,1686540098
44,emerald,-23.5333,148.1667,24.63,42,36,2.41,AU,1686539650
45,hajdunanas,47.85,21.4333,15.04,76,2,6.45,HU,1686540246
46,lupane,-18.9315,27.807,12.57,60,27,2.35,ZW,1686540246
47,atafu village,-8.5421,-172.5159,28.85,76,79,5.53,TK,1686539715
48,vila velha,-20.3297,-40.2925,23.97,89,0,5.66,BR,1686539683
49,mahanoro,-19.9,48.8,18.91,80,2,1.66,MG,1686540247
50,inhambane,-23.865,35.3833,18.63,83,0,3.21,MZ,1686539875
51,ushuaia,-54.8,-68.3,1.81,87,100,3.6,AR,1686539363
52,iqaluit,63.7506,-68.5145,-0.15,69,75,8.49,CA,1686539666
53,damavand,35.7178,52.065,19.14,42,0,0.95,IR,1686540248
54,mar del plata,-38.0023,-57.5575,6.72,57,3,2.68,AR,1686539512
55,opuwo,-18.0607,13.84,12.04,51,1,2.16,NA,1686539954
56,berriane,32.8265,3.7669,25.96,42,0,3.01,DZ,1686540248
57,talnakh,69.4865,88.3972,7.34,63,100,9.98,RU,1686539664
58,yellowknife,62.456,-114.3525,3.29,93,100,6.71,CA,1686540249
59,puerto natales,-51.7236,-72.4875,3.94,88,65,6.2,CL,1686540249
60,minas de marcona,-15.2119,-75.1103,11.81,88,45,6.12,PE,1686539726
61,marietta,33.9526,-84.5499,23.68,85,0,3.09,US,1686540249
62,mil'kovo,55.6078,37.7956,11.27,67,7,3.92,RU,1686539728
63,edmundston,47.3737,-68.3251,16.63,79,0,2.57,CA,1686540250
64,invercargill,-46.4,168.35,10.27,83,96,4.84,NZ,1686540084
65,yulinshi,38.2906,109.7494,24.74,24,45,7.22,CN,1686539661
66,yeppoon,-23.1333,150.7333,25.88,71,27,3.4,AU,1686540250
67,mankono,8.0586,-6.1897,21.42,97,79,2.61,CI,1686540251
68,archangelos,36.2149,28.1149,20.73,84,11,1.37,GR,1686540251
69,nuuk,64.1835,-51.7216,2.34,100,100,12.35,GL,1686539661
70,mount sterling,38.0565,-83.9433,19.03,99,100,3.6,US,1686540251
71,lianran,24.9227,102.485,18.3,60,98,0.09,CN,1686540251
72,jamestown,42.097,-79.2353,17.23,94,100,2.06,US,1686540129
73,kovdor,67.5662,30.4758,11.7,63,100,5.32,RU,1686540252
74,merizo village,13.2658,144.6691,30.85,86,100,7.95,GU,1686539975
75,porto novo,6.4965,2.6036,25.9,87,100,2.13,BJ,1686539825
76,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,31,20,7.0,RU,1686540252
77,gadzhiyevo,69.2551,33.3362,7.76,82,100,4.71,RU,1686539745
78,ola,59.5833,151.2833,17.86,88,99,4.3,RU,1686539812
